concatParams;mean;std
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;4.660500;1465.850203
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;-6.448219;1425.744050
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;6.318407;1388.727727
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;8.554538;1367.377961
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;8.836983;1348.348111
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;20.868117;1344.858856
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;19.217054;1322.199760
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;25.764544;1316.218443
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;26.541083;1297.281709
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;29.142596;1295.625568
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;22.364837;1301.121349
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;20.228755;1323.334123
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;23.470913;1324.068746
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;20.277099;1335.613254
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;19.439515;1342.660129
10_170_True_0.3_adadelta_mse_300_1_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;19.436633;1355.212752
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;33.113046;1840.207508
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;12.234551;1565.199421
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;5.119703;1470.204580
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;19.427106;1412.099425
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;8.895681;1332.334951
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;16.820024;1296.913435
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;12.561914;1275.595143
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;11.511236;1288.606937
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_9_None_None_None_uniform;14.142173;1291.938644
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_10_None_None_None_uniform;21.299093;1276.203968
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_15_None_None_None_uniform;30.668151;1252.116535
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_20_None_None_None_uniform;20.277144;1258.718724
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_25_None_None_None_uniform;24.043325;1264.271631
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_30_None_None_None_uniform;35.050184;1264.828701
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_35_None_None_None_uniform;34.956519;1268.880084
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_40_None_None_None_uniform;35.031404;1278.265186
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_45_None_None_None_uniform;32.910277;1284.326792
10_170_True_0.3_adadelta_mse_50_10_tanh_linear__100000_1_True_False_True_50_None_None_None_uniform;31.350846;1298.810271
10_170_True_0.3_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_1_None_None_None_uniform;-24.957747;1758.939193
10_170_True_0.3_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_2_None_None_None_uniform;10.279795;1562.628773
10_170_True_0.3_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_3_None_None_None_uniform;2.097974;1517.644092
10_170_True_0.3_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_4_None_None_None_uniform;-8.924809;1413.120378
10_170_True_0.3_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_5_None_None_None_uniform;-5.296573;1376.571620
10_170_True_0.3_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_6_None_None_None_uniform;-11.989702;1373.160749
10_170_True_0.3_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_7_None_None_None_uniform;-5.718771;1377.205529
10_170_True_0.3_adadelta_mse_50_1_tanh_linear__100000_1_True_False_True_8_None_None_None_uniform;-3.388177;1366.270344
